agent,turn,us,regroup,tiles,melded,meld_attempts,extend_calls,failed_applies,had_option
AI_0_0,1,139,0,0,1,1,0,0,0
AI_baseline0_1,2,157,0,0,1,2,0,0,0
AI_0_0,3,126,1,0,1,2,1,0,0
AI_baseline0_1,4,156,0,0,1,3,0,0,0
AI_0_0,5,150,1,0,1,3,1,0,0
AI_baseline0_1,6,10,0,0,1,3,0,0,0
AI_0_0,7,10,0,0,1,3,0,0,0
AI_baseline0_1,8,10,0,0,1,3,0,0,0
AI_0_0,9,9,0,0,1,3,0,0,0
AI_baseline0_1,10,9,0,0,1,3,0,0,0
AI_0_0,11,155,1,6,1,3,1,0,1
AI_baseline0_1,12,245,1,1,1,3,1,0,1
AI_0_0,13,158,1,0,1,3,1,0,0
AI_baseline0_1,14,238,1,0,1,3,1,0,0
AI_0_0,15,223,1,1,1,3,1,0,1
AI_baseline0_1,16,177,1,0,1,3,1,0,0
AI_0_0,17,141,1,0,1,3,1,0,0
AI_baseline0_1,18,170,1,0,1,3,1,0,0
AI_0_0,19,144,1,0,1,3,1,0,0
AI_baseline0_1,20,212,1,0,1,3,1,0,0
AI_0_0,21,158,1,0,1,3,1,0,0
AI_baseline0_1,22,181,1,0,1,3,1,0,0
AI_0_0,23,152,1,0,1,3,1,0,0
AI_baseline0_1,24,185,1,0,1,3,1,0,0
AI_0_0,25,151,1,0,1,3,1,0,0
AI_baseline0_1,26,161,1,3,1,3,1,0,1
AI_0_0,27,213,1,1,1,3,1,0,1
AI_baseline0_1,28,174,1,0,1,3,1,0,0
AI_0_0,29,159,1,0,1,3,1,0,0
AI_baseline0_1,30,223,1,1,1,3,1,0,1
AI_0_0,31,164,1,0,1,3,1,0,0
AI_baseline0_1,32,175,1,0,1,3,1,0,0
AI_0_0,33,175,1,0,1,3,1,0,0
AI_baseline0_1,34,182,1,0,1,3,1,0,0
AI_0_0,35,174,1,0,1,3,1,0,0
AI_baseline0_1,36,186,1,3,1,3,1,0,1
AI_0_0,37,279,1,4,1,3,1,0,1
AI_baseline0_1,38,213,1,3,1,3,1,0,1
AI_0_0,39,225,1,0,1,3,1,0,0
AI_baseline0_1,40,221,1,0,1,3,1,0,0
AI_0_0,41,219,1,1,1,3,1,0,1
AI_baseline0_1,42,219,1,0,1,3,1,0,0
AI_0_0,43,218,1,0,1,3,1,0,0
AI_baseline0_1,44,224,1,0,1,3,1,0,0
AI_0_0,45,220,1,0,1,3,1,0,0
AI_baseline0_1,46,376,1,2,1,3,1,0,1
AI_0_0,47,238,1,0,1,3,1,0,0
AI_baseline0_1,48,228,1,0,1,3,1,0,0
AI_0_0,49,244,1,0,1,3,1,0,0
AI_baseline0_1,50,233,1,0,1,3,1,0,0
AI_0_0,51,248,1,0,1,3,1,0,0
AI_baseline0_1,52,238,1,0,1,3,1,0,0
AI_0_0,53,259,1,3,1,3,1,0,1
AI_baseline0_1,54,620,1,4,1,3,1,0,1
AI_0_0,55,454,1,2,1,3,1,0,1
AI_baseline0_1,56,284,1,2,1,3,1,0,1
